GEN,REP,LN,RL,SL,PH,LA,SDW,RDW,LDW,TDW,SPAD
X20,1,6,15,10,25,,0.037,0.038,0.16,0.235,
X20,2,4,7,6.5,13.5,,0.024,0.034,0.061,0.119,
X20,3,4,9.5,13,22.5,,0.024,0.017,0.136,0.177,
X20,4,4,6.5,11,17.5,,0.028,0.047,0.05,0.125,
X21,1,6,10.5,10,20.5,,0.036,0.041,0.088,0.165,
X21,2,5,11.5,13.5,25,,0.033,0.02,0.084,0.137,
X21,3,5,4.5,11,15.5,,0.02,0.013,0.076,0.109,
X21,4,5,4.5,11.5,16,,0.031,0.014,0.062,0.107,
X22,1,8,8,11,19,,0.066,0.034,0.181,0.281,
X22,2,5,9,11.5,20.5,,0.039,0.025,0.13,0.194,
X22,3,5,7,7,14,,0.014,0.024,0.055,0.093,
X22,4,5,11.5,7,18.5,,0.033,0.051,0.169,0.253,
X23,1,5,8,11.5,19.5,,0.028,0.012,0.1,0.14,
X23,2,5,8,12,20,,0.027,0.019,0.114,0.16,
X23,3,5,5,11,16,,0.021,0.026,0.152,0.199,
X23,4,5,7.5,8,15.5,,0.024,0.023,0.066,0.113,
X24,1,4,7.5,10,17.5,,0.032,0.04,0.096,0.168,
X24,2,2,8.5,10.5,19,,0.029,0.014,0.057,0.1,
X24,3,6,14.5,12,26.5,,0.04,0.036,0.101,0.177,
X24,4,5,4.5,7.5,12,,0.027,0.097,0.104,0.228,
Y1,1,6,11,8.5,19.5,,0.023,0.023,0.057,0.103,
Y1,2,5,5.5,7.5,13,,0.022,0.038,0.104,0.164,
Y1,3,3,1.5,7.5,9,,0.017,0.001,0.046,0.064,
Y1,4,4,1,8,9,,0.016,0.003,0.024,0.043,
Y2,1,5,11.5,12,23.5,,0.038,0.041,0.065,0.144,
Y2,2,4,10,11,21,,0.046,0.025,0.078,0.149,
Y2,3,6,3.5,6,9.5,,0.013,0.011,0.024,0.048,
Y2,4,3,10,10.5,20.5,,0.026,0.038,0.071,0.135,
Y3,1,8,9.5,11.5,21,,0.025,0.034,0.092,0.151,
Y3,2,6,7,9.5,16.5,,0.008,0.009,0.05,0.067,
Y3,3,4,9,13,22,,0.021,0.009,0.061,0.091,
Y3,4,8,7.5,12.5,20,,0.013,0.002,0.045,0.06,
Y4,1,5,6.5,7,13.5,,0.016,0.013,0.045,0.074,
Y4,2,7,6.5,8.5,15,,0.013,0.016,0.057,0.086,
Y4,3,5,6.5,10,16.5,,0.03,0.014,0.039,0.083,
Y4,4,5,6,7.5,13.5,,0.019,0.01,0.031,0.06,
Y5,1,5,11,5.5,16.5,,0.016,0.032,0.072,0.12,
Y5,2,5,6.5,7.5,14,,0.022,0.012,0.045,0.079,
Y5,3,7,9,9.5,18.5,,0.019,0.021,0.06,0.1,
Y5,4,7,4.5,6.5,11,,0.008,0.008,0.049,0.065,
Y6,1,7,2,7,9,,0.014,0.008,0.031,0.053,
Y6,2,4,9,6,15,,0.004,0.015,0.05,0.069,
Y6,3,,,,0,,,,,0,
Y6,4,,,,0,,,,,0,
Y7,1,5,5,6.5,11.5,,0.013,0.004,0.017,0.034,
Y7,2,,,,0,,,,,0,
Y7,3,4,3,4.5,7.5,,0.017,0.004,0.018,0.039,
Y7,4,8,1.5,6,7.5,,0.012,0.002,0.018,0.032,
Y8,1,7,7.5,6.5,14,,0.029,0.014,0.058,0.101,
Y8,2,6,6,7.5,13.5,,0.01,0.011,0.05,0.071,
Y8,3,5,6,8,14,,0.028,0.012,0.034,0.074,
Y8,4,5,1.5,6,7.5,,0.009,0.001,0.017,0.027,
Y9,1,5,10,12.5,22.5,,0.022,0.032,0.051,0.105,
Y9,2,7,10.5,11.5,22,,0.015,0.022,0.086,0.123,
Y9,3,6,9.5,11,20.5,,0.002,0.008,0.011,0.021,
Y9,4,4,5,6.6,11.6,,0.011,0.003,0.014,0.028,
Y10,1,6,8.5,9,17.5,,0.009,0.018,0.036,0.063,
Y10,2,5,9.5,8.5,18,,0.01,0.018,0.034,0.062,
Y10,3,6,3,6.5,9.5,,0.008,0.011,0.009,0.028,
Y10,4,9.5,4,9.5,13.5,,0.027,0.003,0.018,0.048,
Y11,1,5,6.5,7.5,14,,0.019,0.02,0.039,0.078,
Y11,2,5,7,10,17,,0.014,0.014,0.034,0.062,
Y11,3,5,5.5,4,9.5,,0.011,0.007,0.012,0.03,
Y11,4,4,7,11.5,18.5,,0.015,0.019,0.059,0.093,
Y12,1,6,5.5,12,17.5,,0.012,0.018,0.047,0.077,
Y12,2,5,4.5,13,17.5,,0.015,0.004,0.023,0.042,
Y12,3,6,7,7,14,,0.005,0.008,0.026,0.039,
Y12,4,5,4,8.5,12.5,,0.008,0.004,0.024,0.036,
Y13,1,4,9,7,16,,0.014,0.02,0.046,0.08,
Y13,2,4,8.5,8,16.5,,0.007,0.011,0.022,0.04,
Y13,3,5,5.5,6,11.5,,0.008,0.012,0.03,0.05,
Y13,4,4,7.5,8.5,16,,0.019,0.024,0.026,0.069,
Y14,1,6,6.5,8,14.5,,0.015,0.016,0.045,0.076,
Y14,2,7,7,12,19,,0.024,0.018,0.045,0.087,
Y14,3,5,8.5,11,19.5,,0.018,0.025,0.033,0.076,
Y14,4,5,8,10,18,,0.013,0.006,0.054,0.073,
Y15,1,8,5,10,15,,0.014,0.022,0.083,0.119,
Y15,2,6,11,5.5,16.5,,0.007,0.014,0.034,0.055,
Y15,3,7,7.5,6.5,14,,0.001,0.003,0.036,0.04,
Y15,4,6,11.5,15,26.5,,0.04,0.058,0.137,0.235,
Y16,1,7,2.5,11.5,14,,0.023,0.012,0.045,0.08,
Y16,2,5,8,8.5,16.5,,0.018,0.011,0.026,0.055,
Y16,3,6,7,6.5,13.5,,0.008,0.01,0.024,0.042,
Y16,4,8,1.5,10.5,12,,0.011,0.006,0.025,0.042,
Y17,1,5,5.5,11.5,17,,0.017,0.012,0.019,0.048,
Y17,2,6,9,11.5,20.5,,0.023,0.012,0.056,0.091,
Y17,3,3,7.5,8.5,16,,0.007,0.014,0.006,0.027,
Y17,4,5,5,10.5,15.5,,0.01,0.008,0.016,0.034,
Y18,1,6,3,9,12,,0.008,0.007,0.017,0.032,
Y18,2,4,6.5,9.5,16,,0.01,0.013,0.056,0.079,
Y18,3,5,9,10.5,19.5,,0.016,0.008,0.057,0.081,
Y18,4,6,8,10,18,,0.014,0.017,0.072,0.103,
Y19,1,6,3,8,11,,0.015,0.002,0.036,0.053,
Y19,2,4,6,9,15,,0.014,0.005,0.028,0.047,
Y19,3,6,4,5.5,9.5,,0.007,0.003,0.009,0.019,
Y19,4,6,5,6,11,,0.008,0.001,0.017,0.026,
Y20,1,7,8,12.5,20.5,,0.024,0.014,0.065,0.103,
Y20,2,6,7.5,10.5,18,,0.028,0.039,0.141,0.208,
Y20,3,4,3.5,6,9.5,,0.008,0.003,0.007,0.018,
Y20,4,6,5.5,9,14.5,,0.032,0.022,0.078,0.132,
Y21,1,6,2.5,4,6.5,,0.006,0.006,0.026,0.038,
Y21,2,3,5.5,8.5,14,,0.01,0.008,0.044,0.062,
Y21,3,3,1.5,5,6.5,,0.004,0.008,0.021,0.033,
Y21,4,4,6,10.5,16.5,,0.007,0.016,0.044,0.067,
Y22,1,3,1.5,6,7.5,,0.005,0.005,0.009,0.019,
Y22,2,,,,0,,,,,0,
Y22,3,4,5.5,5,10.5,,0.007,0.007,0.048,0.062,
Y22,4,4,10,6,16,,0,0,,0,
Y23,1,5,3,10.5,13.5,,0.022,0.018,0.068,0.108,
Y23,2,4,4.5,8.5,13,,0.016,0.018,0.043,0.077,
Y23,3,,,,0,,,,,0,
Y23,4,5,9,10.5,19.5,,0.018,0.012,0.034,0.064,
Y24,1,5,2.5,8.5,11,,0.015,0.015,0.041,0.071,
Y24,2,6,7.5,9,16.5,,0.013,0.017,0.055,0.085,
Y24,3,4,5.5,9,14.5,,0.011,0.007,0.021,0.039,
Y24,4,5,4,12.5,16.5,,0.023,0.014,0.047,0.084,
